LDN,Elev,GDP,Nt,Pop,Pre,Tem
1,0.278414,0.0010964,0,0.0005992,0.538353,0.835127
1,0.398854,0.0037325,0,0.0003046,0.31258,0.687659
1,0.293187,0.0010561,0,0.0002246,0.421651,0.804528
1,0.185107,0.0022096,0,0.0000566,0.539871,0.890331
1,0.185861,0.0034827,0.0190476,0.0018803,0.576364,0.89758
1,0.277962,0.0071788,0,0.0004114,0.300872,0.79896
1,0.292885,0.0011724,0,0.0003196,0.530458,0.821794
1,0.180133,0.0029886,0,0.0005454,0.498803,0.916553
1,0.184052,0.003713,0,0.000532,0.356486,0.873202
1,0.355291,0.0014449,0,0.000051,0.443174,0.735592
1,0.195056,0.0038746,0,0.0007801,0.364229,0.841165
1,0.179831,0.0020696,0,0.0003622,0.441157,0.890604
-1,0.321978,0.0197275,0,0.0003686,0.361748,0.748399
1,0.136117,0.0056176,0,0.0016043,0.613654,0.917696
1,0.15315,0.004011,0,0.0002001,0.571158,0.91533
1,0.227163,0.0029826,0,0.0006373,0.453988,0.878362
1,0.321224,0.0029617,0,0.0003144,0.306331,0.763409
1,0.207266,0.0027654,0,0.0005188,0.277031,0.829998
0,0.160084,0.0022721,0,0.0007619,0.420459,0.89121
1,0.151492,0.0013164,0,0.0001208,0.550633,0.913859
1,0.232137,0.000696,0,0.0001366,0.569297,0.875126
1,0.306904,0.0013054,0,0.0002984,0.363403,0.74977
1,0.167923,0.0032672,0,0.0009109,0.622564,0.875734
0,0.273138,0.0017092,0,0.0003343,0.276603,0.838909
1,0.160989,0.000905,0,0.0001981,0.580526,0.925884
1,0.342177,0.0031695,0,0.0007874,0.322861,0.733223
1,0.23274,0.0049791,0,0.0005625,0.577388,0.856474
1,0.183901,0.0023093,0,0.0006626,0.521605,0.934153
1,0.337956,0.0098793,0,0.0004511,0.337269,0.740571
0,0.251281,0.0042011,0,0.0003516,0.41711,0.838561
1,0.214501,0.0032125,0,0.000552,0.496953,0.908111
1,0.277962,0.0052533,0,0.0005155,0.352258,0.786497
-1,0.157522,0.0030184,0,0.0011022,0.601574,0.905347
1,0.204251,0.0018067,0,0.0002431,0.527759,0.907373
1,0.284444,0.0097564,0.0587302,0.0020904,0.290767,0.798238
1,0.482665,0.0035423,0,0.0001055,0.346016,0.595795
